"","Id","avg_intensity","avg_METs","avg_steps","avg_calories_burned","avg_times_slept","avg_minutes_asleep","avg_minutes_in_bed"
"1",1503960366,0.278599133013917,16.8837097878166,8.9213324207164,1.33054289465323,1.08,360.28,383.2
"2",1644430081,0.211055871212121,14.5717447916667,5.35372869318182,2.04776730966246,1,294,346
"3",1844505072,0.0678870056497175,11.5373785310734,1.49398870056497,1.0795525173683,1,652,961
"4",1927972279,0.0920608108108108,11.8862612612613,2.25238738738739,1.67777464093389,1.6,417,437.8
"5",2026352035,0.164065315315315,13.5962387387387,3.52279279279279,1.05384445520806,1,506.178571428571,537.642857142857
"6",2320127002,0.0978476448050485,12.1294793779581,2.24281045751634,1.11591211305241,1,61,69
"7",2347167796,0.248344847438112,15.8019430051813,7.15883707541739,1.48703801789775,1,446.8,491.333333333333
"8",3977333714,0.19318287037037,14.1342013888889,5.85240740740741,0.993210351125647,1.14285714285714,293.642857142857,461.142857142857
"9",4020332650,0.0930555555555556,12.9203026196929,2.09000677506775,1.77705839056229,1,349.375,379.75
"10",4319703577,0.203751493428913,14.3867622461171,5.15925925925926,1.45585927648926,1.03846153846154,476.653846153846,501.961538461538
"11",4388161847,0.238526077097506,16.3756689342404,7.25090702947846,2.13587848345709,1.29166666666667,403.125,426.208333333333
"12",4445114986,0.16473707966599,13.4161701647484,3.37572782667569,1.54555366853644,1.39285714285714,385.178571428571,416.821428571429
"13",4558609924,0.195765765765766,14.3788513513514,4.29175675675676,1.33713128837581,1,127.6,140
"14",4702921684,0.20969676397375,14.8261710794297,5.8102511880516,2.0772557902212,1.07142857142857,421.142857142857,441.964285714286
"15",5553957443,0.193136589778381,14.0973428312981,5.46171415649028,1.29046746647463,1.2258064516129,463.483870967742,505.870967741935
"16",5577150313,0.338548910523876,18.8288247566064,6.23086462679648,2.4025565025828,1.03846153846154,432,460.615384615385
"17",6117666160,0.218892988929889,14.9721525215252,5.09938499384994,1.55605576997607,1.22222222222222,478.777777777778,510.166666666667
"18",6775888955,0.125735294117647,13.278882868937,2.6843653250774,1.69770514051304,1,349.666666666667,369
"19",6962181067,0.27826332429991,16.3508130081301,8.40942863595303,1.47013749813605,1.09677419354839,448,466.129032258065
"20",7007744171,0.29365551425031,17.0448203221809,7.92040892193309,1.84288544319376,1,68.5,71.5
"21",7086361926,0.189799142405777,15.1576393590612,5.47549085985105,1.71623143730086,1,453.125,466.416666666667
"22",8053475328,0.303944106378183,17.0995717827361,10.4145931935993,2.08104835825109,1,297,301.666666666667
"23",8378563200,0.237632588580456,15.8699164974046,5.8578650417513,2.38298258408955,1.125,443.34375,483.3125
"24",8792009665,0.06390065913371,11.7583451035782,1.21812617702448,1.37890117853431,1,435.666666666667,453.8
